what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1420737221802
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1420737221902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737282527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737299317
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1420737408049
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1420737410339
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1420737410391
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1420737410466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737410960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737473643
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1420737514440
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1420737514818
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1420737514840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737515956
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1420737516016
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1420737517127
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1420737517206
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420737517263
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420737517654
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1420737517841
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1420737552820
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1420737556011
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1420737620142
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1420737620306
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1420737620357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737621039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737626262
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1420737626722
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1420737626978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737648459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737701495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1420737706639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737793091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737848907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737853350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737855012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1420737855017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737857302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420737862357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420738063787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420738221242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420738294614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420738367558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420738459707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420738463060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420738899481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420739440098
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1420739478933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420739948544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420739949926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420740136862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420740246006
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1420740416457
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1420740416476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1420741178528
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1420741178704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420741190596
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1420741211624
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420741278143
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1420741304345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420741324986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420741343150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420741387131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420741395643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1420741436090
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420741442197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420741443676
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1420741450974
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420741457246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420741480367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1420741625237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420741627683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420741677357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420741708051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420741709323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420741832966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420741834329
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1420741847385
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420741851821
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1420741860570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420741925923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420741928005
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420741928390
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1420741929284
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1420741929987
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1420741930094
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1420741930099
